Address,Latitude,Longitude,Status,Application Date,Completion Date,Description,Current Use
17 VICKERS RD,43.6235776,-79.5538865,Demolition,2018-03-14,2018-11-22,Proposal to demolish existing two storey builing (6503m2 area to be demolished),N/A
75 VICKERS RD,43.62912667,-79.55307748,Demolition,2018-03-14,2018-11-22,"Proposal to demolish existing three storey building (15,793m2 area to be demolished)",N/A
556 YONGE ST,43.664536,-79.3845614,Demolition,2018-03-14,2018-09-18,Proposal to demolish the existing 3 storey commercial building (restaurant and office) due to fire damage.  See also Unsafe Order 18 122382 UNS.,Restaurant/Office
300 JOHNSTON AVE,43.7559453,-79.4249649,Demolition,2018-04-19,2018-09-17,demolish existing house,House
179 LORD SEATON RD,43.754979,-79.3948835,Demolition,2018-06-27,2018-11-26,To demolish existing 1 1/2 storey dwelling and a construct new two storey dwelling,House
64 GLEN PARK AVE,43.7122719,-79.433273,Demolition,1986-05-05,2018-07-04,DEMOLISH,
102 ERNEST AVE,43.79112337,-79.33403713,Demolition,1986-05-06,2018-07-04,DEMOLISH HOUSE,
22 OWEN BLVD,43.74786852,-79.40077046,Demolition,1987-06-05,2018-07-04,DEMO APPROX 2000 SQ FT,
55 NORDEN CRES,43.73816234,-79.35280803,Demolition,1988-12-05,2018-07-04,1200 SQ FT,
37 SILVERTON AVE,43.74294953,-79.43982921,Demolition,1989-02-06,2018-07-04,1200 SQ FT,
125 WATERLOO AVE,43.7579102,-79.4475366,Demolition,1989-05-04,2018-07-04,1500 SQ FT,
16 HEATHCOTE AVE,43.75261023,-79.38311937,Demolition,1990-05-26,2018-07-04,2000 SQ FT,
34 CENTRE AVE,43.79231537,-79.41551269,Demolition,1991-12-05,2018-07-04,REN: W9001612,
266 PRINCESS AVE,43.77140225,-79.39936802,Demolition,1992-01-22,2018-07-04,REN: W9100911,
581 BROOKDALE AVE,43.72471943,-79.42809422,Demolition,1993-08-12,2018-07-04,DEMO 1 STRY,
510 FAIRLAWN AVE,43.72624156,-79.42577557,Demolition,1993-09-03,2018-07-04,DEMO 900 SQ. FT SFD,
457 MELROSE AVE,43.72878898,-79.42340228,Demolition,1994-04-07,2018-03-07,1200 SQ FT,
535 GLENGROVE AVE,43.71339918,-79.43163179,Demolition,1994-05-20,2018-07-04,DEMO SFD 1 STRY,
517 CRANBROOKE AVE,43.72464479,-79.42435454,Demolition,1994-05-26,2018-03-07,DEMO 900 SQ FT,
8 GROVEDALE AVE,43.71881237,-79.4820105,Demolition,1994-06-13,2018-07-04,DEMO 800 SQ FT,
566 FAIRLAWN AVE,43.72528466,-79.43016854,Demolition,1994-06-20,2018-07-04,DEMO 700 SQ FT,
32 HI MOUNT DR,43.77785457,-79.37464518,Demolition,1998-07-08,2018-07-04,DEMO/REAR ADDITION,
89 RHODES AVE,43.66839342,-79.31849946,Demolition,1999-11-16,2018-02-28,Repair Fire Damage,
