Address,Latitude,Longitude,Status,Application Date,Completion Date,Description,Current Use
869 QUEEN ST W,43.645709,-79.4107337,Demolition,2014-10-30,2015-04-30,Demolition permit to remove one residential unit on the 2nd floor of existing restaurant.,Mixed-Use
104 SHEPPARD AVE W,43.7604562,-79.4163386,Demolition,2014-11-05,2015-02-03,"Demolition of a non-residential application.
",Office
4435-4479 KINGSTON RD,43.7604562,-79.4163386,Demolition,2014-11-12,2015-10-22,Demolish existing one storey mixed use building,Retail
2 ST THOMAS ST,43.668044,-79.39074427,Demolition,2014-12-02,2015-08-25,To demolish the existing one-storey sales trailer. ,Sales Trailer
1800 YONGE ST,43.696238,-79.396345,Demolition,2014-12-16,2015-12-17,"Proposal for demolition of existing 75.6m2 storage shed  at TTC Davisville Yard.  Only structure to be taken down, concrete slab is to remain.",Storage
629 EASTERN AVE,43.6588132,-79.3364786,Demolition,2014-12-18,2015-03-26,Proposal to demolish the existing film set. Existing permit #13-215445 TPS 01 TS.,Film Structure
591 DUNDAS ST E,43.6602551,-79.3616475,Demolition,2014-12-31,2015-07-24,Proposal to demolish existing 2 storey community/recreational building.  CONVENIENCE ADDRESS -  203 SACKVILLE GREEN (REGENT PARK COMMUNITY CENTRE).,Community/Recreational
386 EGLINTON AVE E,43.709309,-79.386043,Demolition,2015-01-30,2015-12-07,Proposal to demolish an existing vacant power transformer station and soil remediation.,Vacant - Former Hydro Transformer Station
9 CRESTON RD,43.71896898,-79.45343388,Demolition,2015-02-04,2015-12-11,demolish existing house,House
40 WELLESLEY ST E,43.6654594,-79.3825226,Demolition,2015-02-04,2015-11-27,"Proposal to demolish existing 4 1/2 storey mixed use, commecial building.  Demolition only, no new building proposed at this time.",Office/Retail
750 KINGSTON RD,43.6798192,-79.29462,Demolition,2015-02-05,2015-10-08,Proposal to demolish existing two storey convent building.  No residential dwelling units.,Convent
3765 ST CLAIR AVE E,43.7207939,-79.241148,Demolition,2015-02-09,2015-06-11,Proposal to demolish existing one storey place of worship in preparation for a 21 unit townhouse development  ,Place Of Worship    
67 OXFORD ST,43.62029291,-79.50942209,Demolition,2015-02-17,2015-08-26,Proposal to demolish existing 2 storey dwelling.,Triplex
3099 DUFFERIN ST,43.71528594,-79.45481484,Demolition,2015-02-23,2015-09-16,DEMOLITION OF A TEMPORARY SALES OFFICE ,Temporary Sales Office
48 HURLINGHAM CRES,43.75058861,-79.35752014,Demolition,2015-03-14,2015-05-14,demolish existing house,House
85 DELL PARK AVE,43.71609523,-79.43641347,Demolition,2015-03-19,2015-06-03,demolish one stroey residential dwelling,House
75 BANNOCKBURN AVE,43.73252634,-79.42651887,Demolition,2015-04-01,2015-09-09,demolish existing house,House
20 SOUTHLEA AVE,43.69863119,-79.36875901,Demolition,2015-04-02,2015-07-22,demolish existing 2 storey house,House
140 MONA DR,43.7169659,-79.418305,Demolition,2015-04-13,2015-07-19,demolish existing house,House
377 WALMER RD,43.681552,-79.4113727,Demolition,2015-04-14,2015-09-23,Demolish existing dwelling due to unsafe conditions and replace with a new 3 storey SFD-detached dwelling. See also 15 105900 MV.,Detached Dwelling 
11 WELLESLEY ST W,43.664635,-79.385478,Demolition,2015-04-17,2015-06-29,Proposal to demolish 1 storey sales centre.  See 14 255836 BLD for new building.,Sales Centre
